metodoPago,numeroCuotas
credit_card,1
boleto,1
credit_card,3
credit_card,1
credit_card,1
credit_card,6
credit_card,1
credit_card,3
boleto,1
voucher,1
credit_card,1
credit_card,1
boleto,1
credit_card,3
credit_card,1
credit_card,10
credit_card,10
credit_card,4
credit_card,1
voucher,1
boleto,1
credit_card,4
credit_card,1
credit_card,3
boleto,1
boleto,1
credit_card,10
credit_card,2
credit_card,8
credit_card,3
boleto,1
credit_card,4
credit_card,1
credit_card,1
credit_card,2
credit_card,4
boleto,1
boleto,1
boleto,1
credit_card,4
credit_card,4
credit_card,10
credit_card,9
debit_card,1
boleto,1
credit_card,7
credit_card,1
credit_card,5
credit_card,1
boleto,1
boleto,1
boleto,1
credit_card,2
credit_card,10
credit_card,1
credit_card,3
credit_card,1
credit_card,9
boleto,1
boleto,1
boleto,1
credit_card,1
credit_card,9
boleto,1
credit_card,3
credit_card,4
credit_card,1
credit_card,3
boleto,1
debit_card,1
credit_card,1
credit_card,1
credit_card,4
boleto,1
boleto,1
credit_card,5
boleto,1
voucher,1
boleto,1
credit_card,2
boleto,1
credit_card,1
credit_card,3
credit_card,5
boleto,1
boleto,1
credit_card,2
boleto,1
credit_card,6
credit_card,5
credit_card,1
credit_card,7
credit_card,4
boleto,1
credit_card,8
credit_card,1
credit_card,2
credit_card,5
voucher,1
credit_card,2
credit_card,2
credit_card,3
boleto,1
boleto,1
credit_card,8
credit_card,1
credit_card,6
credit_card,1
boleto,1
voucher,1
credit_card,4
credit_card,1
credit_card,1
credit_card,3
credit_card,8
credit_card,5
credit_card,1
credit_card,7
credit_card,5
credit_card,6
voucher,1
boleto,1
boleto,1
credit_card,3
credit_card,3
credit_card,10
credit_card,1
credit_card,1
credit_card,2
credit_card,1
credit_card,2
credit_card,1
credit_card,1
credit_card,2
credit_card,2
boleto,1
credit_card,1
credit_card,1
credit_card,3
boleto,1
boleto,1
credit_card,8
credit_card,1
debit_card,1
boleto,1
credit_card,5
credit_card,10
boleto,1
credit_card,1
credit_card,1
